z [m],scaleX,scaleY
-0.133842471872422,2.58258891045627,12.2964229518167
-0.146919353417727,7.76100622367501,4.7661121942846
-0.0612424283148868,1.80023072014614,4.22763946729373
-0.0630320091766902,1.95556289479378,4.26270097667225
-0.132513938342645,1.75381846601032,1.39870209608063
-0.0260745938190598,1.0141139031522,1.34368711610854
-0.0732438453973678,1.91510085313841,3.44756768400313
-0.0164532675787975,0.828617070551107,0.85447765981721
-0.0108828245596534,0.936462662295798,0.884550155263359
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
